2022-01-26T12:42:17-04:00, ::1, POST, /api/powerbi/reportData, HTTP/1.1, 200, 716.713
2022-01-26T12:42:18-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.715
2022-01-26T12:42:18-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.759
2022-01-26T12:42:18-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.670
2022-01-26T12:42:18-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 8.514
2022-01-26T12:42:18-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.808
2022-01-26T12:42:18-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.356
2022-01-26T12:42:18-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.387
2022-01-26T12:42:19-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.038
2022-01-26T12:50:42-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 2.744
2022-01-26T12:50:42-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 4.635
2022-01-26T12:54:34-04:00, ::1, GET, /api/reports/account, HTTP/1.1, 304, 3.203
2022-01-26T12:54:34-04:00, ::1, GET, /api/admins/logo, HTTP/1.1, 304, 4.477
2022-01-26T12:54:34-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.805
2022-01-26T12:55:34-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.533
2022-01-26T12:55:34-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.251
2022-01-26T12:55:34-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.839
2022-01-26T12:55:35-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.773
2022-01-26T12:55:35-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 3.608
2022-01-26T12:55:35-04:00, ::1, GET, /api/users, HTTP/1.1, 304, 7.802
2022-01-26T12:55:35-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.301
